task_col,vision_test_r2,vision_test_mae,vision_test_mae_norm_iqr,vision_n_test,tabular_test_r2,tabular_test_mae,tabular_test_mae_norm_iqr,tabular_n_test,fusion_test_r2,fusion_test_mae,fusion_test_mae_norm_iqr,fusion_n_test,delta_r2_fusion_vs_vision,delta_r2_fusion_vs_tabular,delta_mae_norm_fusion_vs_vision,delta_mae_norm_fusion_vs_tabular,best_by_r2,best_by_mae_norm
task__fs,0.290552020072937,5.597640514373779,0.559764051437378,337,0.9698663949966432,0.993430495262146,0.0993430495262146,337,0.9709981083869934,0.9758507013320924,0.0975850701332092,337,0.6804460883140564,0.0011317133903502308,-0.46217898130416873,-0.0017579793930053988,fusion,fusion
task__tr_mmhg,0.2532179355621338,7.032434463500977,0.5409564971923828,550,0.9671937227249146,1.1329915523529053,0.0871531963348388,551,0.9682143926620485,1.1296378374099731,0.0868952182623056,550,0.7149964570999147,0.0010206699371339,-0.4540612789300772,-0.0002579780725331937,fusion,fusion
task__tricuspid_regurgitant_peak_velocity,0.2687943577766418,32.17500686645508,0.536250114440918,547,0.965625524520874,5.178542613983154,0.0863090435663859,548,0.966523289680481,5.19955587387085,0.0866592645645141,547,0.6977289319038391,0.0008977651596069336,-0.44959084987640385,0.0003502209981282034,fusion,tabular
task__left_ventricular_end_systolic_diameter,0.4877520203590393,3.767840385437012,0.4709800481796264,541,0.8553516864776611,1.5931143760681152,0.1991392970085144,541,0.8759506940841675,1.6036769151687622,0.2004596143960952,541,0.3881986737251282,0.020599007606506348,-0.2705204337835312,0.0013203173875807883,fusion,tabular
task__left_ventricular_end_diastolic_diameter,0.4315970540046692,4.137661457061768,0.4597401618957519,657,0.6512117385864258,3.034536361694336,0.3371707068549262,658,0.692496120929718,2.9553091526031494,0.3283676836225722,657,0.26089906692504883,0.041284382343292236,-0.13137247827317972,-0.008803023232354046,fusion,fusion
task__body_surface_area,0.5815228819847107,1423.83642578125,0.3746939888435386,674,0.3920081853866577,1702.396240234375,0.4479992408507611,675,0.6779921054840088,1238.94384765625,0.32603802222349,674,0.0964692234992981,0.2859839200973511,-0.04865596662004862,-0.1219612186272711,fusion,fusion
task__height_cm,0.3808205127716064,69.84117126464844,0.4582756956570495,261,0.6299521923065186,53.78741455078125,0.3529360171731573,261,0.6607275009155273,52.72467803955078,0.3459626760168527,261,0.27990698814392095,0.03077530860900879,-0.1123130196401968,-0.006973341156304602,fusion,fusion
task__av_pk_vel,0.6130657196044922,27.354171752929688,0.4559028625488281,614,0.2837789058685303,34.14830780029297,0.5691384633382162,615,0.6466360092163086,25.56776237487793,0.4261293729146321,614,0.033570289611816406,0.3628571033477783,-0.029773489634196015,-0.14300909042358406,fusion,fusion
task__sept_e_prime,0.4073084592819214,1.382624268531799,0.4608747561772664,503,0.5888147950172424,1.1932804584503174,0.3977601528167724,504,0.6335580348968506,1.123155951499939,0.3743853171666463,503,0.2262495756149292,0.044743239879608154,-0.08648943901062012,-0.023374835650126102,fusion,fusion
task__la_4ch_length,0.506379246711731,4.874277114868164,0.4431157940148135,624,0.5732048153877258,4.462573051452637,0.4056881778452246,625,0.6313145160675049,4.214791297912598,0.3831625795103735,624,0.12493526935577393,0.05810970067977905,-0.05995321450443997,-0.02252559833485107,fusion,fusion
