task_col,vision_test_r2,tabular_test_r2,fusion_test_r2,delta_r2_fusion_vs_vision,delta_r2_fusion_vs_tabular,vision_test_mae_norm_iqr,tabular_test_mae_norm_iqr,fusion_test_mae_norm_iqr
task__tr_mmhg,0.2532179355621338,0.9671937227249146,0.9682143926620485,0.7149964570999147,0.0010206699371339,0.5409564971923828,0.0871531963348388,0.0868952182623056
task__tricuspid_regurgitant_peak_velocity,0.2687943577766418,0.965625524520874,0.966523289680481,0.6977289319038391,0.0008977651596069336,0.536250114440918,0.0863090435663859,0.0866592645645141
task__fs,0.290552020072937,0.9698663949966432,0.9709981083869934,0.6804460883140564,0.0011317133903502308,0.559764051437378,0.0993430495262146,0.0975850701332092
task__left_ventricular_end_systolic_diameter,0.4877520203590393,0.8553516864776611,0.8759506940841675,0.3881986737251282,0.020599007606506348,0.4709800481796264,0.1991392970085144,0.2004596143960952
task__inf_lat_thickness,0.249042272567749,0.6122198104858398,0.5575881004333496,0.3085458278656006,-0.054631710052490234,0.444762388865153,0.3082894086837768,0.3355224132537842
task__height_cm,0.3808205127716064,0.6299521923065186,0.6607275009155273,0.27990698814392095,0.03077530860900879,0.4582756956570495,0.3529360171731573,0.3459626760168527
task__left_ventricular_end_diastolic_diameter,0.4315970540046692,0.6512117385864258,0.692496120929718,0.26089906692504883,0.041284382343292236,0.4597401618957519,0.3371707068549262,0.3283676836225722
task__sept_e_prime,0.4073084592819214,0.5888147950172424,0.6335580348968506,0.2262495756149292,0.044743239879608154,0.4608747561772664,0.3977601528167724,0.3743853171666463
task__septal_thickness,0.3137268424034118,0.4623973965644836,0.4850151538848877,0.17128831148147589,0.022617757320404108,0.4868471622467041,0.4112058480580647,0.4158634742101033
task__la_4ch_length,0.506379246711731,0.5732048153877258,0.6313145160675049,0.12493526935577393,0.05810970067977905,0.4431157940148135,0.4056881778452246,0.3831625795103735
task__ra_length,0.4769197702407837,0.5051798820495605,0.595771312713623,0.11885154247283936,0.0905914306640625,0.4353059855374423,0.4106773463162509,0.380967530337247
task__lvot_diam,0.2556626796722412,0.3326128125190735,0.3545824885368347,0.0989198088645935,0.02196967601776123,0.6901047850654459,0.6527835991703026,0.6423942612593281
task__body_surface_area,0.5815228819847107,0.3920081853866577,0.6779921054840088,0.0964692234992981,0.2859839200973511,0.3746939888435386,0.4479992408507611,0.32603802222349
task__lvot_vti,0.365145742893219,0.3250944018363952,0.4570427536964416,0.0918970108032226,0.1319483518600464,0.4574443817138672,0.4642391681671142,0.4199789047241211
task__resting_dbp,0.123096227645874,0.1524423956871032,0.2130001783370971,0.08990395069122312,0.060557782649993924,0.6386019842965263,0.5545248985290527,0.5332005023956299
